,countriesAndTerritories,cases,deaths,dateRep,popData2019
36970,Mexico,8608,249,14/12/2020,127575529.0
36971,Mexico,12057,685,13/12/2020,127575529.0
36972,Mexico,12253,693,12/12/2020,127575529.0
36973,Mexico,11897,671,11/12/2020,127575529.0
36974,Mexico,21974,781,10/12/2020,127575529.0
36975,Mexico,1006,800,09/12/2020,127575529.0
36976,Mexico,6399,357,08/12/2020,127575529.0
36977,Mexico,7455,261,07/12/2020,127575529.0
36978,Mexico,11625,593,06/12/2020,127575529.0
36979,Mexico,12127,690,05/12/2020,127575529.0
36980,Mexico,11030,608,04/12/2020,127575529.0
36981,Mexico,11251,800,03/12/2020,127575529.0
36982,Mexico,8819,825,02/12/2020,127575529.0
36983,Mexico,6472,285,01/12/2020,127575529.0
36984,Mexico,6388,196,30/11/2020,127575529.0
36985,Mexico,22089,1217,29/11/2020,127575529.0
36986,Mexico,0,0,28/11/2020,127575529.0
36987,Mexico,8107,645,27/11/2020,127575529.0
36988,Mexico,10335,858,26/11/2020,127575529.0
36989,Mexico,10794,813,25/11/2020,127575529.0
36990,Mexico,7483,250,24/11/2020,127575529.0
36991,Mexico,9187,303,23/11/2020,127575529.0
36992,Mexico,6719,550,22/11/2020,127575529.0
36993,Mexico,6426,719,21/11/2020,127575529.0
36994,Mexico,4472,576,20/11/2020,127575529.0
36995,Mexico,3918,502,19/11/2020,127575529.0
36996,Mexico,1757,165,18/11/2020,127575529.0
36997,Mexico,2874,319,17/11/2020,127575529.0
36998,Mexico,3269,283,16/11/2020,127575529.0
36999,Mexico,5860,635,15/11/2020,127575529.0
37000,Mexico,5558,568,14/11/2020,127575529.0
37001,Mexico,5658,626,13/11/2020,127575529.0
37002,Mexico,7646,588,12/11/2020,127575529.0
37003,Mexico,5746,617,11/11/2020,127575529.0
37004,Mexico,4960,198,10/11/2020,127575529.0
37005,Mexico,5887,219,09/11/2020,127575529.0
37006,Mexico,6810,485,08/11/2020,127575529.0
37007,Mexico,5931,551,07/11/2020,127575529.0
37008,Mexico,5567,544,06/11/2020,127575529.0
37009,Mexico,5225,635,05/11/2020,127575529.0
37010,Mexico,5250,493,04/11/2020,127575529.0
37011,Mexico,3763,205,03/11/2020,127575529.0
37012,Mexico,4430,142,02/11/2020,127575529.0
37013,Mexico,6151,464,01/11/2020,127575529.0
37014,Mexico,6000,516,31/10/2020,127575529.0
37015,Mexico,5948,464,30/10/2020,127575529.0
37016,Mexico,5595,495,29/10/2020,127575529.0
37017,Mexico,5942,643,28/10/2020,127575529.0
37018,Mexico,4166,247,27/10/2020,127575529.0
37019,Mexico,4360,181,26/10/2020,127575529.0
37020,Mexico,6025,431,25/10/2020,127575529.0
37021,Mexico,6604,418,24/10/2020,127575529.0
37022,Mexico,6612,479,23/10/2020,127575529.0
37023,Mexico,6845,522,22/10/2020,127575529.0
37024,Mexico,5788,555,21/10/2020,127575529.0
37025,Mexico,3699,171,20/10/2020,127575529.0
37026,Mexico,1320,108,19/10/2020,127575529.0
37027,Mexico,2800,355,18/10/2020,127575529.0
37028,Mexico,380,419,17/10/2020,127575529.0
37029,Mexico,1470,387,16/10/2020,127575529.0
37030,Mexico,2640,478,15/10/2020,127575529.0
37031,Mexico,4548,475,14/10/2020,127575529.0
37032,Mexico,5326,303,13/10/2020,127575529.0
37033,Mexico,1750,0,12/10/2020,127575529.0
37034,Mexico,2435,135,11/10/2020,127575529.0
37035,Mexico,5009,411,10/10/2020,127575529.0
37036,Mexico,4936,3013,09/10/2020,127575529.0
37037,Mexico,5175,369,08/10/2020,127575529.0
37038,Mexico,5405,446,07/10/2020,127575529.0
37039,Mexico,5247,180,06/10/2020,127575529.0
37040,Mexico,1580,208,05/10/2020,127575529.0
37041,Mexico,2266,388,04/10/2020,127575529.0
37042,Mexico,4699,414,03/10/2020,127575529.0
37043,Mexico,4955,432,02/10/2020,127575529.0
37044,Mexico,5212,483,01/10/2020,127575529.0
37045,Mexico,5741,560,30/09/2020,127575529.0
37046,Mexico,5952,173,29/09/2020,127575529.0
37047,Mexico,1701,187,28/09/2020,127575529.0
37048,Mexico,2535,399,27/09/2020,127575529.0
37049,Mexico,5079,405,26/09/2020,127575529.0
37050,Mexico,5156,490,25/09/2020,127575529.0
37051,Mexico,5495,601,24/09/2020,127575529.0
37052,Mexico,5939,651,23/09/2020,127575529.0
37053,Mexico,6031,204,22/09/2020,127575529.0
37054,Mexico,1701,235,21/09/2020,127575529.0
37055,Mexico,2658,455,20/09/2020,127575529.0
37056,Mexico,5551,624,19/09/2020,127575529.0
37057,Mexico,6000,201,18/09/2020,127575529.0
37058,Mexico,2082,300,17/09/2020,127575529.0
37059,Mexico,4098,629,16/09/2020,127575529.0
37060,Mexico,5985,228,15/09/2020,127575529.0
37061,Mexico,1803,217,14/09/2020,127575529.0
37062,Mexico,2669,421,13/09/2020,127575529.0
37063,Mexico,5308,534,12/09/2020,127575529.0
37064,Mexico,5482,554,11/09/2020,127575529.0
37065,Mexico,5882,611,10/09/2020,127575529.0
37066,Mexico,6403,703,09/09/2020,127575529.0
37067,Mexico,6188,223,08/09/2020,127575529.0
