,countriesAndTerritories,cases,deaths,dateRep,popData2019
0,Afghanistan,746,6,14/12/2020,38041757.0
1,Afghanistan,298,9,13/12/2020,38041757.0
2,Afghanistan,113,11,12/12/2020,38041757.0
3,Afghanistan,63,10,11/12/2020,38041757.0
4,Afghanistan,202,16,10/12/2020,38041757.0
5,Afghanistan,135,13,09/12/2020,38041757.0
6,Afghanistan,200,6,08/12/2020,38041757.0
7,Afghanistan,210,26,07/12/2020,38041757.0
8,Afghanistan,234,10,06/12/2020,38041757.0
9,Afghanistan,235,18,05/12/2020,38041757.0
10,Afghanistan,119,5,04/12/2020,38041757.0
11,Afghanistan,202,19,03/12/2020,38041757.0
12,Afghanistan,400,48,02/12/2020,38041757.0
13,Afghanistan,272,11,01/12/2020,38041757.0
14,Afghanistan,0,0,30/11/2020,38041757.0
15,Afghanistan,228,11,29/11/2020,38041757.0
16,Afghanistan,214,15,28/11/2020,38041757.0
17,Afghanistan,0,0,27/11/2020,38041757.0
18,Afghanistan,200,12,26/11/2020,38041757.0
19,Afghanistan,185,13,25/11/2020,38041757.0
20,Afghanistan,246,17,24/11/2020,38041757.0
21,Afghanistan,252,8,23/11/2020,38041757.0
22,Afghanistan,154,12,22/11/2020,38041757.0
23,Afghanistan,232,25,21/11/2020,38041757.0
24,Afghanistan,282,5,20/11/2020,38041757.0
25,Afghanistan,0,0,19/11/2020,38041757.0
26,Afghanistan,383,13,18/11/2020,38041757.0
27,Afghanistan,65,6,17/11/2020,38041757.0
28,Afghanistan,163,9,16/11/2020,38041757.0
29,Afghanistan,205,12,15/11/2020,38041757.0
30,Afghanistan,66,10,14/11/2020,38041757.0
31,Afghanistan,360,14,13/11/2020,38041757.0
32,Afghanistan,146,4,12/11/2020,38041757.0
33,Afghanistan,0,0,11/11/2020,38041757.0
34,Afghanistan,224,12,10/11/2020,38041757.0
35,Afghanistan,80,3,09/11/2020,38041757.0
36,Afghanistan,126,6,08/11/2020,38041757.0
37,Afghanistan,58,2,07/11/2020,38041757.0
38,Afghanistan,40,0,06/11/2020,38041757.0
39,Afghanistan,121,6,05/11/2020,38041757.0
40,Afghanistan,86,4,04/11/2020,38041757.0
41,Afghanistan,95,3,03/11/2020,38041757.0
