,countriesAndTerritories,cases,deaths,dateRep,popData2019
2116,Argentina,14001,3351,02/10/2020,44780675.0
7020,Bolivia,528,1610,07/09/2020,11513102.0
8128,Brazil,69074,1595,30/07/2020,211049519.0
16906,Ecuador,-8261,3800,07/09/2020,17373657.0
20618,France,5233,2004,04/04/2020,67012883.0
26925,India,10974,2003,17/06/2020,1366417756.0
37036,Mexico,4936,3013,09/10/2020,127575529.0
44886,Peru,9441,3935,14/08/2020,32510462.0
44907,Peru,4546,3887,24/07/2020,32510462.0
52762,Spain,25042,1623,04/11/2020,46937060.0
59002,United_States_of_America,216017,2315,13/12/2020,329064917.0
59003,United_States_of_America,234633,3343,12/12/2020,329064917.0
59004,United_States_of_America,224680,2748,11/12/2020,329064917.0
59005,United_States_of_America,220025,3124,10/12/2020,329064917.0
59006,United_States_of_America,217344,2564,09/12/2020,329064917.0
59009,United_States_of_America,211933,2203,06/12/2020,329064917.0
59010,United_States_of_America,231930,2680,05/12/2020,329064917.0
59011,United_States_of_America,214747,2481,04/12/2020,329064917.0
59012,United_States_of_America,203311,3190,03/12/2020,329064917.0
59013,United_States_of_America,180421,2600,02/12/2020,329064917.0
59019,United_States_of_America,186589,2341,26/11/2020,329064917.0
59020,United_States_of_America,170293,2224,25/11/2020,329064917.0
59024,United_States_of_America,196117,1858,21/11/2020,329064917.0
59025,United_States_of_America,188020,2018,20/11/2020,329064917.0
59026,United_States_of_America,170005,1850,19/11/2020,329064917.0
59031,United_States_of_America,184813,1915,14/11/2020,329064917.0
59033,United_States_of_America,143306,2117,12/11/2020,329064917.0
59130,United_States_of_America,59755,1848,07/08/2020,329064917.0
59172,United_States_of_America,40949,2437,26/06/2020,329064917.0
59201,United_States_of_America,18721,1526,28/05/2020,329064917.0
59208,United_States_of_America,23285,1518,21/05/2020,329064917.0
59209,United_States_of_America,19970,1568,20/05/2020,329064917.0
59213,United_States_of_America,25508,1662,16/05/2020,329064917.0
59214,United_States_of_America,27143,1773,15/05/2020,329064917.0
59215,United_States_of_America,20782,1746,14/05/2020,329064917.0
59216,United_States_of_America,22048,1703,13/05/2020,329064917.0
59219,United_States_of_America,25612,1614,10/05/2020,329064917.0
59220,United_States_of_America,26957,1510,09/05/2020,329064917.0
59221,United_States_of_America,28369,2239,08/05/2020,329064917.0
59222,United_States_of_America,24128,2353,07/05/2020,329064917.0
59223,United_States_of_America,23841,2144,06/05/2020,329064917.0
59227,United_States_of_America,33955,2062,02/05/2020,329064917.0
59228,United_States_of_America,29917,2040,01/05/2020,329064917.0
59229,United_States_of_America,27326,2611,30/04/2020,329064917.0
59230,United_States_of_America,24132,2110,29/04/2020,329064917.0
59232,United_States_of_America,26857,1687,27/04/2020,329064917.0
59233,United_States_of_America,48529,2172,26/04/2020,329064917.0
59235,United_States_of_America,26543,3179,24/04/2020,329064917.0
59236,United_States_of_America,17588,1721,23/04/2020,329064917.0
59237,United_States_of_America,37289,2524,22/04/2020,329064917.0
59238,United_States_of_America,28065,1857,21/04/2020,329064917.0
59239,United_States_of_America,24601,1772,20/04/2020,329064917.0
59240,United_States_of_America,32922,1856,19/04/2020,329064917.0
59241,United_States_of_America,30833,3770,18/04/2020,329064917.0
59242,United_States_of_America,31667,2299,17/04/2020,329064917.0
59243,United_States_of_America,30148,4928,16/04/2020,329064917.0
59244,United_States_of_America,26922,2408,15/04/2020,329064917.0
59245,United_States_of_America,25023,1541,14/04/2020,329064917.0
59247,United_States_of_America,28391,1831,12/04/2020,329064917.0
59248,United_States_of_America,35527,2087,11/04/2020,329064917.0
59249,United_States_of_America,33901,1873,10/04/2020,329064917.0
59250,United_States_of_America,33323,1922,09/04/2020,329064917.0
59251,United_States_of_America,30613,1906,08/04/2020,329064917.0
